-149.18,30.25,-84.04,0
-154.34,24.96,-84.74,0
-157.01,21.89,-82.86,0
-159.59,18.27,-78.2,0
-158.37,17.85,-69.8,0
-156.04,16.77,-55.35,0
-153.63,15.75,-41.19,0
-151.97,16.98,-34.41,0
-152.01,16.41,-28.06,0
-154.47,15.06,-24.07,0
-155.54,13.1,-21.24,0
-157.17,9.78,-19.39,0
-158.9,7.19,-17.29,0
-160.04,5.53,-17.06,0
-159.74,5.26,-27.51,0
-162.23,9.36,-70.11,0
-161.64,18.16,-89.52,0
-160.73,153.27,-111.01,0
-163.09,147.92,-140.49,0
-164.56,146.96,-162.78,0
-162.95,147.72,178.41,0
-168.08,143.84,165.68,0
-171.23,140.18,155.65,0
-171.58,140.37,140.43,0
-165.04,142.45,130.59,0
-172.23,144.19,115.43,0
142.73,36.38,89.65,0
100.74,28.87,68.23,0
85.76,20.18,48.56,0
81.38,14.34,35.7,0
79.92,12.08,28.76,0
78.85,10.74,24.65,0
74.78,10.04,21.3,0
74.56,9.78,22.06,0
72.05,10.71,22.81,0
69.3,11.37,24.64,0
63.29,7.27,27.28,0
56.83,7.17,27,0
48.64,10.22,28.32,0
44.52,13.77,24.94,0
44.49,13.5,20.4,0
46.13,4.15,20.18,0
45.75,-3.17,21.27,0
42.62,-6.71,24.98,0
40.77,-5.85,26.28,0
38.51,-4.33,27.25,0
36.96,-2.84,28.3,0
36,-3.23,29.48,0
36.12,-5.17,34.12,0
39.18,-9.31,41.5,0
41.94,-14.21,48.28,0
44.81,-16.7,49.02,0
45.35,-16.5,51.89,0
45.35,-15.88,50.42,0
41.95,-11.61,49.24,0
33.1,-2.21,49.08,0
27.05,5.41,49.12,0
23.23,9.35,48.65,0
21.07,12.47,47.58,0
22.01,11.55,47.25,0
23.53,10.2,46.68,0
23.82,8.61,46.39,0
24.35,6.94,47.88,0
24.9,4.95,50.54,0
26.7,1.34,55.81,0
27.87,-1.95,60.51,0
29.19,-4.78,63.76,0
28.77,-4.47,65.59,0
25.79,-1.94,67.42,0
25.09,0.49,66.99,0
24.67,1.63,65.99,0
25.87,-3.76,64.45,0
29.44,-9.29,60.87,0
26.64,-7.1,57.45,0
22.34,-7.25,55.62,0
16.64,-4.42,53.1,0
9.62,1.17,52.16,0
8.45,1.18,52.11,0
8.26,1.09,50.76,0
6.78,2.16,49.98,0
6.42,1,49.49,0
5.46,0.67,49.6,0
2.53,2.09,50.55,0
0.75,2.09,51.36,0
0.28,2.14,51.47,0
-0.56,2.9,51.88,0
0.27,3.22,53.01,0
1.69,2.11,55.08,0
3.49,0.19,56.85,0
4.27,-0.31,58.35,0
5.41,-0.98,59.35,0
7.79,-3.41,60.35,0
10.5,-8.78,61.87,0
10.05,-10.49,64.76,0
9.54,-11.27,66.72,0
7.7,-9.78,66.03,0
5.11,-6.89,63.27,0
1.48,-3.15,60.49,0
-2.1,-0.32,58.56,0
-6.88,4.24,56.84,0
-12.51,9.19,54.84,0
-16.64,11.08,52.47,0
-19.73,12.26,50.77,0
-20.9,13.33,49.76,0
-20.67,13.67,49.35,0
-20.19,12.61,48.61,0
-20.63,11.85,48.06,0
-22,12.33,47.94,0
-23.65,13.31,48.28,0
-25.59,14.05,48.17,0
-27.57,14.77,48.07,0
-29.51,15.47,47.92,0
-31.03,16.06,47.52,0
-32.14,16.46,47.3,0
-33.51,16.88,47.12,0
-35.94,17.82,46.99,0
-38.99,19.18,46.53,0
-42.71,21.79,44.55,0
-46.91,24.95,44.35,0
-49.33,26.91,44.03,0
-50.67,27.05,44.93,0
-51.46,26.55,45,0
-52.17,26.68,45.72,0
-53.95,27.22,44.56,0
-53.93,26.87,44.3,0
-54.32,27.19,44.44,0
-53.92,26.67,44.66,0
-54.43,26.86,44.64,0
-55.14,27.16,44.31,0
-56.19,26.99,43.61,0
-57.64,26.72,42.55,0
-65.09,27.59,36.09,0
-82.95,27.21,20.57,0
-96.27,20.43,11.18,0
-100.5,17.71,8.58,0
-100.07,17.5,9.91,0
-97.49,17.46,12.55,0
-92.49,18.76,16.27,0
-88.08,19.29,19.2,0
-86.42,19.35,20.95,0
-88.24,20.96,21.68,0
-88.55,21.54,22.75,0
-87.28,22.24,24.44,0
-86,23.09,26.63,0
-87.64,23.19,27.5,0
-90.29,22.78,27.02,0
-92.02,22.46,26.94,0
-92.04,22.19,27.56,0
-91.79,21.53,28.07,0
-91.45,20.78,28.73,0
-91.2,20.36,28.97,0
-91.12,19.62,28.86,0
-89.78,19.73,29.74,0
-87.9,19.92,32.04,0
-86.64,19.82,34.05,0
-86.69,20.7,34.32,0
-86.86,21.44,34.33,0
-87.52,22.18,34.23,0
-87.29,23.19,34.29,0
-86.69,24.24,34.55,0
-84.83,25.68,35.35,0
-79.49,26.47,38.33,0
-72.56,26.68,41.62,0
-64.97,27.26,44.72,0
-59.72,27.78,46.66,0
-57.84,29.17,47.24,0
-56.38,30.33,48.11,0
-55,30.71,48.89,0
-54.12,30.5,49.29,0
-54.05,30.77,49.33,0
-53.78,32.02,49.43,0
-53.07,31.17,49.45,0
-52.35,29.35,49.02,0
-48.25,24.27,50.47,0
-44.99,16.39,51.19,0
-43.64,5.73,51.72,0
-44.39,-7.15,52.35,0
-41.13,-19.92,52.74,0
-32.06,-27.13,57.47,0
-27.12,-29.25,62.73,0
-21.64,-32.88,63.56,0
-18.24,-37.18,63.6,0
-11.19,-38.83,67.5,0
-1.07,-41.94,71.52,0
8.43,-43.78,76.42,0
16.4,-45.43,79.45,0
34.86,-50.5,82.88,0
43.38,-53.12,84.4,0
38.91,-50.29,83.85,0
37.19,-49.69,83.67,0
36.73,-49.37,83.92,0
30.38,-48.05,81.32,0
31.06,-48.9,81.25,0
32.16,-49.1,82.27,0
28.76,-48.79,81.15,0
24.02,-50.25,79.97,0
19.55,-48.24,79.59,0
16.9,-48.95,78.37,0
15.32,-48.75,77.26,0
15.47,-46.52,78.68,0
10.59,-45.9,77.72,0
7.95,-46.95,77,0
0.43,-46.57,75.09,0
-5.85,-46.19,74.03,0
-14.63,-45.04,73.59,0
-22.86,-43.96,72.8,0
-31.09,-43.41,72.44,0
-37.96,-43.2,71.82,0
-44.66,-42.71,71.19,0
-52.93,-40.33,71.05,0
-63.82,-36.42,71.63,0
-70.8,-35.58,71.36,0
-77.43,-35.83,71.17,0
-82.5,-37.63,70.86,0
-108.24,-3.99,16.41,0
-121,-3.96,17.23,0
-133.65,-3.92,17.5,0
-145.93,-3.96,17.51,0
-158.36,-4.03,14.73,0
-170.35,-4.07,16.58,0
177.67,-4.12,16.51,0
165.55,-4.07,16.71,0
153.13,-4.05,16.55,0
140.45,-4.01,16.56,0
127.37,-3.89,18.48,0
114.08,-3.84,17.83,0
100.77,-3.83,17.72,0
87.54,-3.9,17.8,0
74.37,-3.78,18.75,0
61.37,-3.6,19.09,0
48.91,-3.08,16.61,0.1
35.68,-0.82,15.42,0.1
24.16,2.16,14.61,0.1
12.53,8.56,15.15,0.1
13.82,41.87,27.21,0.1
25.9,56.74,37.15,0.1
41.41,58.5,37.69,0.1
50.22,58.64,34.25,0.1
58.01,55.54,32.18,0.1
43.34,32.51,23.69,0.1
24.42,0.24,15.34,0.1
10.16,-5.17,17.74,0.1
-2.97,-1.17,14.89,0.1
-12.4,1.65,13.62,0.1
-19.51,-9.03,8.54,0.1
20.41,-10.77,13.62,0.1
29.94,-8.33,12.23,0.1
17.07,-18.74,19.55,0.1
-10.5,-41.6,45.89,0.1
-68,-50.78,63.77,0.1
-103.23,-47.48,64.01,0.1
-114.35,-35.72,45.04,0.1
-149.85,3.12,-15.06,0.1
-157.46,-4.61,7.69,0.1
-164.83,0.69,8.56,0.1
179.59,2.74,6.12,0.1
156.4,1.11,7.01,0.1
78.87,6.58,5.94,0.1
73.75,-1.82,10.46,0.1
50.81,2.15,9.58,0.1
41.11,-2.38,4.96,0.1
32.36,-3.48,6.15,0.1
17.29,-11.28,7.6,0.1
-34.61,0.97,17.74,0.1
-84.45,11.43,7.37,0.1
-82.94,8.03,6.62,0.1
-109.24,-0.54,10.08,0.1
-123.01,10,10.53,0.1
-176.98,8.27,10.53,0.1
138.74,7.39,7.39,0.1
149.58,3.32,12.83,0.1
163.16,4.95,14.5,0.1
-167.76,-2.82,13.45,0.1
-169.38,-5.09,11.42,0.1
178.07,7.59,15.8,0.1
160.66,45.14,13.78,0.1
151.57,63.67,34.95,0.1
165.71,55.78,23.57,0.1
173.27,59.94,36.6,0.1
-174.37,56.65,33.52,0
-170.52,51.93,28.45,0
